"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CONTROL_LIMITS"	"ROWID"	"int"	"NO"
"dbo"	"CONTROL_LIMITS"	"TEST_ID"	"nvarchar"	"NO"
"dbo"	"CONTROL_LIMITS"	"STEP_NO"	"int"	"NO"
"dbo"	"CONTROL_LIMITS"	"LIMIT_ID"	"nvarchar"	"NO"
"dbo"	"CONTROL_LIMITS"	"LIMIT_TYPE"	"nvarchar"	"NO"
"dbo"	"CONTROL_LIMITS"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"CONTROL_LIMITS"	"CENTRAL_LINE"	"decimal"	"NO"
"dbo"	"CONTROL_LIMITS"	"LCL"	"decimal"	"NO"
"dbo"	"CONTROL_LIMITS"	"UCL"	"decimal"	"NO"
"dbo"	"CONTROL_LIMITS"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"CONTROL_LIMITS"	"START_SUBGROUP"	"smallint"	"YES"
"dbo"	"CONTROL_LIMITS"	"END_SUBGROUP"	"smallint"	"YES"
"dbo"	"CONTROL_LIMITS"	"NUM_OF_SUBGRPS"	"smallint"	"YES"
