"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CURRENCY"	"ROWID"	"int"	"NO"
"dbo"	"CURRENCY"	"ID"	"nvarchar"	"NO"
"dbo"	"CURRENCY"	"NAME"	"nvarchar"	"YES"
"dbo"	"CURRENCY"	"SHORT_NAME"	"nvarchar"	"YES"
"dbo"	"CURRENCY"	"COUNTRY_PROFILE"	"nvarchar"	"YES"
"dbo"	"CURRENCY"	"I_CURRENCY"	"smallint"	"YES"
"dbo"	"CURRENCY"	"I_CURR_DIGITS"	"smallint"	"YES"
"dbo"	"CURRENCY"	"I_NEG_CURR"	"smallint"	"YES"
"dbo"	"CURRENCY"	"S_CURRENCY"	"nvarchar"	"YES"
"dbo"	"CURRENCY"	"S_THOUSAND"	"nchar"	"YES"
"dbo"	"CURRENCY"	"EURO_PARTICIPANT"	"nchar"	"NO"
"dbo"	"CURRENCY"	"XCHG_RATE"	"decimal"	"YES"
"dbo"	"CURRENCY"	"ISO_CODE"	"nvarchar"	"YES"
"dbo"	"CURRENCY"	"REPORTING_CURRENCY"	"nchar"	"YES"
