"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CUSTOMER_ENTITY"	"ROWID"	"int"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"ENTITY_ID"	"nvarchar"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"CUSTOMER_ID"	"nvarchar"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"CREDIT_STATUS"	"nchar"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"CREDIT_LIMIT_CTL"	"nchar"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"CREDIT_LIMIT"	"decimal"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"RECV_AGE_LIMIT"	"smallint"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"TOTAL_OPEN_ORDERS"	"decimal"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"TOTAL_OPEN_RECV"	"decimal"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"OPEN_ORDER_COUNT"	"int"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"OPEN_RECV_COUNT"	"int"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"CT_BEST_LOWER_PCT"	"int"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"CT_GOOD_LOWER_PCT"	"int"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"PT_DAYS"	"int"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"PT_BEST_LOWER_PCT"	"int"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"PT_GOOD_LOWER_PCT"	"int"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"OLDEST_INV_TYPE"	"nchar"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"TOTAL_OPEN_SHIPPED"	"decimal"	"NO"
"dbo"	"CUSTOMER_ENTITY"	"OPEN_OLDEST_RECV"	"datetime"	"YES"
"dbo"	"CUSTOMER_ENTITY"	"SHIP_CREDIT_LIMIT_CTL"	"nchar"	"NO"
