"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CUST_BOOK_DEL"	"ROWID"	"int"	"NO"
"dbo"	"CUST_BOOK_DEL"	"CUST_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"CUST_BOOK_DEL"	"CUST_ORDER_LINE_NO"	"smallint"	"NO"
"dbo"	"CUST_BOOK_DEL"	"DEL_SCHED_LINE_NO"	"smallint"	"NO"
"dbo"	"CUST_BOOK_DEL"	"BOOK_DATE"	"datetime"	"NO"
"dbo"	"CUST_BOOK_DEL"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"CUST_BOOK_DEL"	"ACTUAL_SHIP_DATE"	"datetime"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_ORDER_QTY"	"decimal"	"NO"
"dbo"	"CUST_BOOK_DEL"	"ORDER_QTY"	"decimal"	"NO"
"dbo"	"CUST_BOOK_DEL"	"USER_SHIPPED_QTY"	"decimal"	"YES"
"dbo"	"CUST_BOOK_DEL"	"SHIPPED_QTY"	"decimal"	"YES"
"dbo"	"CUST_BOOK_DEL"	"SHIPTO_ID"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"RELEASE_NUMBER"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"ALLOCATED_QTY"	"decimal"	"NO"
"dbo"	"CUST_BOOK_DEL"	"FULFILLED_QTY"	"decimal"	"NO"
"dbo"	"CUST_BOOK_DEL"	"USER_1"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_2"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_3"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_4"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_5"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_6"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_7"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_8"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_9"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"USER_10"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_BOOK_DEL"	"REVISION_ID"	"nvarchar"	"YES"
