"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CUST_ORDER_LINE"	"ROWID"	"int"	"NO"
"dbo"	"CUST_ORDER_LINE"	"CUST_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"CUST_ORDER_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"CUST_ORDER_LINE"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"CUSTOMER_PART_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"LINE_STATUS"	"nchar"	"NO"
"dbo"	"CUST_ORDER_LINE"	"ORDER_QTY"	"decimal"	"NO"
"dbo"	"CUST_ORDER_LINE"	"USER_ORDER_QTY"	"decimal"	"NO"
"dbo"	"CUST_ORDER_LINE"	"SELLING_UM"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"CUST_ORDER_LINE"	"UNIT_PRICE"	"decimal"	"NO"
"dbo"	"CUST_ORDER_LINE"	"TRADE_DISC_PERCENT"	"decimal"	"NO"
"dbo"	"CUST_ORDER_LINE"	"EST_FREIGHT"	"decimal"	"NO"
"dbo"	"CUST_ORDER_LINE"	"COMMISSION_PCT"	"decimal"	"YES"
"dbo"	"CUST_ORDER_LINE"	"SALES_TAX_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"MISC_REFERENCE"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"DRAWING_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"DRAWING_REV_NO"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"GL_REVENUE_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"CUST_ORDER_LINE"	"LAST_SHIPPED_DATE"	"datetime"	"YES"
"dbo"	"CUST_ORDER_LINE"	"TOTAL_ACT_FREIGHT"	"decimal"	"NO"
