"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"DECISION_PARAMS"	"ROWID"	"int"	"NO"
"dbo"	"DECISION_PARAMS"	"PARAM_ID"	"int"	"NO"
"dbo"	"DECISION_PARAMS"	"PTS_INA_ROW_ONE_SI"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"STEADY_UP_OR_DOWN"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"ALTERNATING_UP_AND"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"TWO_SIGMAS_ACTUAL"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"OUT_OF_TWO_SIGMA"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"ONE_SIGMA_ACTUAL"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"OUT_OF_ONE_SIGMA"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"LESS_THAN_1_SIGMA"	"smallint"	"NO"
"dbo"	"DECISION_PARAMS"	"GRTR_THAN_1_SIGMA"	"smallint"	"NO"
