"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"DISPATCH_PALLET"	"ROWID"	"int"	"NO"
"dbo"	"DISPATCH_PALLET"	"DISPATCH_ID"	"nvarchar"	"NO"
"dbo"	"DISPATCH_PALLET"	"DISPATCH_LINE_NO"	"smallint"	"NO"
"dbo"	"DISPATCH_PALLET"	"PALLET_ID"	"nvarchar"	"NO"
"dbo"	"DISPATCH_PALLET"	"CARTON_COUNT"	"smallint"	"NO"
"dbo"	"DISPATCH_PALLET"	"SHIPPING_WEIGHT"	"decimal"	"YES"
"dbo"	"DISPATCH_PALLET"	"PACKAGE_TYPE"	"nvarchar"	"YES"
"dbo"	"DISPATCH_PALLET"	"QTY_PER_PKG"	"decimal"	"YES"
"dbo"	"DISPATCH_PALLET"	"SKID_PART_ID"	"nvarchar"	"YES"
"dbo"	"DISPATCH_PALLET"	"SKID_WEIGHT"	"decimal"	"YES"
"dbo"	"DISPATCH_PALLET"	"CONTAINER_PART_ID"	"nvarchar"	"YES"
"dbo"	"DISPATCH_PALLET"	"CONTAINER_WEIGHT"	"decimal"	"YES"
"dbo"	"DISPATCH_PALLET"	"CREATE_INV_TRANS"	"nchar"	"YES"
