"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"EC"	"ROWID"	"int"	"NO"
"dbo"	"EC"	"ID"	"nvarchar"	"NO"
"dbo"	"EC"	"ORIGINATOR"	"nvarchar"	"NO"
"dbo"	"EC"	"ASSIGNED_TO"	"nvarchar"	"YES"
"dbo"	"EC"	"STATUS"	"nvarchar"	"NO"
"dbo"	"EC"	"ON_HOLD_STATUS"	"nvarchar"	"YES"
"dbo"	"EC"	"REQUEST_DATE"	"datetime"	"YES"
"dbo"	"EC"	"WANT_DATE"	"datetime"	"YES"
"dbo"	"EC"	"AUTH_DATE"	"datetime"	"YES"
"dbo"	"EC"	"IMPL_DATE"	"datetime"	"YES"
"dbo"	"EC"	"APRV_DATE"	"datetime"	"YES"
"dbo"	"EC"	"DIST_DATE"	"datetime"	"YES"
"dbo"	"EC"	"TYPE"	"nvarchar"	"YES"
"dbo"	"EC"	"REASON"	"nvarchar"	"YES"
"dbo"	"EC"	"PRIORITY"	"int"	"NO"
"dbo"	"EC"	"ORIGIN_ID"	"nvarchar"	"YES"
"dbo"	"EC"	"ORIGIN_TYPE"	"nvarchar"	"YES"
"dbo"	"EC"	"HAS_SUBORDINATES"	"nchar"	"YES"
"dbo"	"EC"	"EXT_TASKS_DONE"	"nchar"	"YES"
"dbo"	"EC"	"REWORK_COST"	"decimal"	"YES"
"dbo"	"EC"	"SCRAP_COST"	"decimal"	"YES"
"dbo"	"EC"	"ECN_COST"	"decimal"	"YES"
"dbo"	"EC"	"COST_COMMENT"	"nvarchar"	"YES"
"dbo"	"EC"	"CREATED_BY"	"nvarchar"	"YES"
"dbo"	"EC"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"EC"	"USER_1"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_2"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_3"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_4"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_5"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_6"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_7"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_8"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_9"	"nvarchar"	"YES"
"dbo"	"EC"	"USER_10"	"nvarchar"	"YES"
"dbo"	"EC"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"EC"	"LOCKED"	"nchar"	"YES"
"dbo"	"EC"	"NEXT_LINE_NO"	"int"	"NO"
"dbo"	"EC"	"UPDATE_PART_REV"	"nchar"	"YES"
"dbo"	"EC"	"UPDATE_DOC_REV"	"nchar"	"YES"
"dbo"	"EC"	"UPDATE_LEVEL"	"nvarchar"	"YES"
"dbo"	"EC"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"EC"	"SITE_ID"	"nvarchar"	"NO"
