"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ECN_DETAIL"	"ROWID"	"int"	"NO"
"dbo"	"ECN_DETAIL"	"ECN_ID"	"nvarchar"	"NO"
"dbo"	"ECN_DETAIL"	"LINE_NO"	"int"	"NO"
"dbo"	"ECN_DETAIL"	"ENTRY_NO"	"smallint"	"NO"
"dbo"	"ECN_DETAIL"	"DETAIL_TYPE"	"int"	"NO"
"dbo"	"ECN_DETAIL"	"WORKORDER_SUB_ID"	"nvarchar"	"YES"
"dbo"	"ECN_DETAIL"	"OPERATION_SEQ_NO"	"int"	"YES"
"dbo"	"ECN_DETAIL"	"REQ_PIECE_NO"	"int"	"YES"
"dbo"	"ECN_DETAIL"	"CHILD_NOTIFY"	"nchar"	"NO"
"dbo"	"ECN_DETAIL"	"LOCK_NOTIFY"	"nchar"	"NO"
"dbo"	"ECN_DETAIL"	"ECN_ACTION"	"nchar"	"NO"
"dbo"	"ECN_DETAIL"	"RESTORED"	"nchar"	"NO"
"dbo"	"ECN_DETAIL"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"ECN_DETAIL"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"ECN_DETAIL"	"COMMENTS"	"nvarchar"	"YES"
