"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ECN_OPERATION"	"ROWID"	"int"	"NO"
"dbo"	"ECN_OPERATION"	"ECN_ID"	"nvarchar"	"NO"
"dbo"	"ECN_OPERATION"	"LINE_NO"	"int"	"NO"
"dbo"	"ECN_OPERATION"	"ECN_ENTRY_NO"	"smallint"	"NO"
"dbo"	"ECN_OPERATION"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"ECN_OPERATION"	"SEQUENCE_NO"	"smallint"	"NO"
"dbo"	"ECN_OPERATION"	"RESOURCE_ID"	"nvarchar"	"YES"
"dbo"	"ECN_OPERATION"	"SETUP_HRS"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"RUN"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"RUN_TYPE"	"nchar"	"YES"
"dbo"	"ECN_OPERATION"	"LOAD_SIZE_QTY"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"RUN_HRS"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"MOVE_HRS"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"TRANSIT_DAYS"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"ECN_OPERATION"	"SCRAP_YIELD_PCT"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"SCRAP_YIELD_TYPE"	"nchar"	"YES"
"dbo"	"ECN_OPERATION"	"FIXED_SCRAP_UNITS"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"MINIMUM_MOVE_QTY"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"CALC_START_QTY"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"CALC_END_QTY"	"decimal"	"YES"
"dbo"	"ECN_OPERATION"	"OPERATION_TYPE"	"nvarchar"	"YES"
