"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ECN_REQUIREMENT"	"ROWID"	"int"	"NO"
"dbo"	"ECN_REQUIREMENT"	"ECN_ID"	"nvarchar"	"NO"
"dbo"	"ECN_REQUIREMENT"	"LINE_NO"	"int"	"NO"
"dbo"	"ECN_REQUIREMENT"	"ECN_ENTRY_NO"	"smallint"	"NO"
"dbo"	"ECN_REQUIREMENT"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"ECN_REQUIREMENT"	"OPERATION_SEQ_NO"	"smallint"	"NO"
"dbo"	"ECN_REQUIREMENT"	"PIECE_NO"	"smallint"	"NO"
"dbo"	"ECN_REQUIREMENT"	"SUBORD_WO_SUB_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"STATUS"	"nchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"QTY_PER"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"QTY_PER_TYPE"	"nchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"FIXED_QTY"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"SCRAP_PERCENT"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DIMENSIONS"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DIM_EXPRESSION"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USAGE_UM"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"EFFECTIVE_DATE"	"datetime"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DISCONTINUE_DATE"	"datetime"	"YES"
"dbo"	"ECN_REQUIREMENT"	"CALC_QTY"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"REQUIRED_DATE"	"datetime"	"YES"
"dbo"	"ECN_REQUIREMENT"	"UNIT_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"UNIT_LABOR_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"UNIT_BURDEN_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"UNIT_SERVICE_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"BURDEN_PERCENT"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"BURDEN_PER_UNIT"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"FIXED_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DRAWING_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DRAWING_REV_NO"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"VENDOR_PART_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"EST_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"EST_LABOR_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"EST_BURDEN_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"EST_SERVICE_COST"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"MFG_NAME"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"MFG_PART_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"DRAWING_FILE"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"PLANNING_LEADTIME"	"smallint"	"YES"
"dbo"	"ECN_REQUIREMENT"	"REQUIRED_FOR_SETUP"	"nchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_1"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_2"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_3"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_4"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_5"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_6"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_7"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_8"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_9"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"USER_10"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"HEIGHT"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"INHERIT_WAREHOUSE"	"nchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"LENGTH"	"decimal"	"YES"
"dbo"	"ECN_REQUIREMENT"	"LOCATION_ID"	"nvarchar"	"YES"
"dbo"	"ECN_REQUIREMENT"	"WIDTH"	"decimal"	"YES"
