"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ECN_WORKORDER"	"ROWID"	"int"	"NO"
"dbo"	"ECN_WORKORDER"	"ECN_ID"	"nvarchar"	"NO"
"dbo"	"ECN_WORKORDER"	"LINE_NO"	"int"	"NO"
"dbo"	"ECN_WORKORDER"	"ECN_ENTRY_NO"	"smallint"	"NO"
"dbo"	"ECN_WORKORDER"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"ECN_WORKORDER"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"DESIRED_QTY"	"decimal"	"YES"
"dbo"	"ECN_WORKORDER"	"DESIRED_RLS_DATE"	"datetime"	"YES"
"dbo"	"ECN_WORKORDER"	"DESIRED_WANT_DATE"	"datetime"	"YES"
"dbo"	"ECN_WORKORDER"	"ENGINEERED_BY"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"ENGINEERED_DATE"	"datetime"	"YES"
"dbo"	"ECN_WORKORDER"	"DRAWING_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"DRAWING_REV_NO"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"FORWARD_SCHEDULE"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"VARIABLE_TABLE"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"SCHEDULE_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"EST_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"ECN_WORKORDER"	"EST_LABOR_COST"	"decimal"	"YES"
"dbo"	"ECN_WORKORDER"	"EST_BURDEN_COST"	"decimal"	"YES"
"dbo"	"ECN_WORKORDER"	"EST_SERVICE_COST"	"decimal"	"YES"
"dbo"	"ECN_WORKORDER"	"DRAWING_FILE"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"HARD_RELEASE_DATE"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"WIP_VAS_REQUIRED"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_1"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_2"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_3"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_4"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_5"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_6"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_7"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_8"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_9"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"USER_10"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"EDI_BLANKET_FLAG"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"ORIG_STAGE_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"ECN_WORKORDER"	"ALLOW_UPD_FROM_MST"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"ALLOW_UPD_FROM_LEG"	"nchar"	"YES"
"dbo"	"ECN_WORKORDER"	"ALLOW_ALT_PARTS"	"nchar"	"YES"
