"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"EC_LINE"	"ROWID"	"int"	"NO"
"dbo"	"EC_LINE"	"EC_ID"	"nvarchar"	"NO"
"dbo"	"EC_LINE"	"LINE_NO"	"int"	"NO"
"dbo"	"EC_LINE"	"TYPE"	"nvarchar"	"NO"
"dbo"	"EC_LINE"	"STATUS"	"nvarchar"	"NO"
"dbo"	"EC_LINE"	"WO_TYPE"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"WO_BASE_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"WO_LOT_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"WO_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"ENG_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"DISPOSITION_CODE"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"DOC_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"FILE_LOCATION"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"LINKED_EC_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"EC_LINE"	"USER_1"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_2"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_3"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_4"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_5"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_6"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_7"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_8"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_9"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"USER_10"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"LOCKED"	"nchar"	"YES"
"dbo"	"EC_LINE"	"UPDATE_REV"	"nchar"	"YES"
"dbo"	"EC_LINE"	"NEW_STAGE_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"OLD_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"NEW_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"EC_LINE"	"REV_INCORPORATED"	"nchar"	"YES"
"dbo"	"EC_LINE"	"STATUS_EFF_DATE"	"datetime"	"NO"
