"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"EMPLOYEE"	"ROWID"	"int"	"NO"
"dbo"	"EMPLOYEE"	"ID"	"nvarchar"	"NO"
"dbo"	"EMPLOYEE"	"LAST_NAME"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"FIRST_NAME"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"MIDDLE_INITIAL"	"nchar"	"YES"
"dbo"	"EMPLOYEE"	"ADDR_1"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"ADDR_2"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"ADDR_3"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"CITY"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"STATE"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"ZIPCODE"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"COUNTRY"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"PHONE"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"TYPE"	"nchar"	"NO"
"dbo"	"EMPLOYEE"	"DEPARTMENT_ID"	"nvarchar"	"NO"
"dbo"	"EMPLOYEE"	"ACTIVE"	"nchar"	"NO"
"dbo"	"EMPLOYEE"	"SHIFT_ID"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"EARNING_CODE_ID"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"COST_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"EMAIL_ADDR"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"MERLIN_EMP"	"bit"	"NO"
"dbo"	"EMPLOYEE"	"PAYROLL_SITE_ID"	"nvarchar"	"YES"
"dbo"	"EMPLOYEE"	"EMPLOYEE_COUNTRY_ID"	"nvarchar"	"YES"
