"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"EQUIP_BILL_OPTIONS"	"ROWID"	"int"	"NO"
"dbo"	"EQUIP_BILL_OPTIONS"	"CUST_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"EQUIP_BILL_OPTIONS"	"CUST_ORDER_LINE_NO"	"smallint"	"NO"
"dbo"	"EQUIP_BILL_OPTIONS"	"SEQ_NO"	"smallint"	"NO"
"dbo"	"EQUIP_BILL_OPTIONS"	"MISC_REFERENCE"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"QTY"	"decimal"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"DISCOUNT"	"decimal"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"LINE_VALUE"	"decimal"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"STOCK_UM"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"workorder_base_id"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"workorder_lot_id"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"workorder_split_id"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"workorder_sub_id"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"workorder_type"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"operation_seq_no"	"smallint"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"piece_no"	"smallint"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"invoice_id"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"labor_band"	"nvarchar"	"YES"
"dbo"	"EQUIP_BILL_OPTIONS"	"resource_id"	"nvarchar"	"YES"
