"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_ID"	"bigint"	"NO"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_LOGICAL_ID"	"nvarchar"	"NO"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_NOUN_NAME"	"nvarchar"	"NO"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_TENANT_ID"	"nvarchar"	"NO"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_ACCOUNTING_ENTITY_ID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_LOCATION_ID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_VARIATION_ID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_NOUN_ID"	"nvarchar"	"NO"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_SYSTEM_ID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_DRILLBACK_LID"	"nvarchar"	"YES"
"dbo"	"ESB_VARIATION_ID_MEDIATION"	"C_AGENCY_ROLE"	"nvarchar"	"YES"
