"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"EVENT_TRIGGER"	"ROWID"	"int"	"NO"
"dbo"	"EVENT_TRIGGER"	"ID"	"int"	"NO"
"dbo"	"EVENT_TRIGGER"	"TYPE"	"nchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"BASE_ID"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"LOT_ID"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"CLASS"	"nchar"	"NO"
"dbo"	"EVENT_TRIGGER"	"EVENT_ACTION"	"nchar"	"NO"
"dbo"	"EVENT_TRIGGER"	"SENDER"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"SUBJECT"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"RECIPIENT"	"nvarchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"FREQUENCY"	"nchar"	"NO"
"dbo"	"EVENT_TRIGGER"	"FREQ_COUNT"	"int"	"YES"
"dbo"	"EVENT_TRIGGER"	"FREQ_DATE"	"datetime"	"YES"
"dbo"	"EVENT_TRIGGER"	"STATUS"	"nchar"	"YES"
"dbo"	"EVENT_TRIGGER"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"EVENT_TRIGGER"	"USER_ID"	"nvarchar"	"NO"
