"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"E_PURCRECV_DET"	"ROWID"	"int"	"NO"
"dbo"	"E_PURCRECV_DET"	"EIS_DATE"	"datetime"	"YES"
"dbo"	"E_PURCRECV_DET"	"ID"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"E_PURCRECV_DET"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"E_PURCRECV_DET"	"STATUS"	"nchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"VENDOR_NAME"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"BUYER"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"LINE_NO"	"smallint"	"YES"
"dbo"	"E_PURCRECV_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"USER_ORDER_QTY"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"TOTAL_AMT_RECEIVED"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCRECV_DET"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"E_PURCRECV_DET"	"THIS_REC_QTY"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"TODATE_REC_QTY"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"E_PURCRECV_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
