"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"E_PURCSVLV_DET"	"ROWID"	"int"	"NO"
"dbo"	"E_PURCSVLV_DET"	"EIS_DATE"	"datetime"	"YES"
"dbo"	"E_PURCSVLV_DET"	"ID"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"E_PURCSVLV_DET"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"E_PURCSVLV_DET"	"STATUS"	"nchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"VENDOR_NAME"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"BUYER"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"LINE_NO"	"smallint"	"YES"
"dbo"	"E_PURCSVLV_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"USER_ORDER_QTY"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"TOTAL_VALUE"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"E_PURCSVLV_DET"	"THIS_REC_QTY"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"TODATE_REC_QTY"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"RECEIVED_ON_TIME"	"nchar"	"YES"
"dbo"	"E_PURCSVLV_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"E_PURCSVLV_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
