"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"E_SHIP_DET"	"ROWID"	"int"	"NO"
"dbo"	"E_SHIP_DET"	"EIS_DATE"	"datetime"	"YES"
"dbo"	"E_SHIP_DET"	"ORDER_ID"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"E_SHIP_DET"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"E_SHIP_DET"	"SHIPPED_DATE"	"datetime"	"YES"
"dbo"	"E_SHIP_DET"	"PACKLIST_ID"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"SALESREP_ID"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"TERRITORY"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"CUSTOMER_ID"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"NAME"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"LINE_NO"	"smallint"	"YES"
"dbo"	"E_SHIP_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"SHIP_QTY"	"decimal"	"YES"
"dbo"	"E_SHIP_DET"	"SELLING_UM"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"E_SHIP_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"E_SHIP_DET"	"TOTAL_VALUE"	"decimal"	"YES"
"dbo"	"E_SHIP_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"E_SHIP_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"E_SHIP_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
