"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"IBT"	"ROWID"	"int"	"NO"
"dbo"	"IBT"	"ID"	"nvarchar"	"NO"
"dbo"	"IBT"	"FROM_WHSE_ID"	"nvarchar"	"NO"
"dbo"	"IBT"	"TO_WHSE_ID"	"nvarchar"	"NO"
"dbo"	"IBT"	"ORDER_DATE"	"datetime"	"NO"
"dbo"	"IBT"	"TRANSIT_DAYS"	"decimal"	"YES"
"dbo"	"IBT"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"IBT"	"DESIRED_SHIP_DATE"	"datetime"	"YES"
"dbo"	"IBT"	"BUYER"	"nvarchar"	"YES"
"dbo"	"IBT"	"SHIP_VIA"	"nvarchar"	"YES"
"dbo"	"IBT"	"STATUS"	"nchar"	"NO"
"dbo"	"IBT"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"IBT"	"SHIPPED_DATE"	"datetime"	"YES"
"dbo"	"IBT"	"FREIGHT"	"decimal"	"YES"
"dbo"	"IBT"	"SHIP_REASON_CD"	"nvarchar"	"YES"
"dbo"	"IBT"	"RETURNED_DATE"	"datetime"	"YES"
"dbo"	"IBT"	"CARRIER_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"FREIGHT_TERMS"	"nchar"	"YES"
"dbo"	"IBT"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"IBT"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_1"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_2"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_3"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_4"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_5"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_6"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_7"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_8"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_9"	"nvarchar"	"YES"
"dbo"	"IBT"	"USER_10"	"nvarchar"	"YES"
"dbo"	"IBT"	"OWNER_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"DISPATCHED"	"nchar"	"YES"
"dbo"	"IBT"	"CONSIGNED_XFR_TYPE"	"nchar"	"NO"
"dbo"	"IBT"	"CUSTOMER_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"SHIP_FROM_ADDR_NO"	"int"	"YES"
"dbo"	"IBT"	"SHIP_TO_ADDR_NO"	"int"	"YES"
"dbo"	"IBT"	"CONTACT_FIRST_NAME"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_LAST_NAME"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_INITIAL"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_POSITION"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_HONORIFIC"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_SALUTATION"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_PHONE"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_FAX"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_MOBILE"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_EMAIL"	"nvarchar"	"YES"
"dbo"	"IBT"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"IBT"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"IBT"	"CONTACT_ID"	"nvarchar"	"YES"
"dbo"	"IBT"	"CONTACT_PHONE_EXT"	"nvarchar"	"YES"
