"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"IBT_RECEIVER"	"ROWID"	"int"	"NO"
"dbo"	"IBT_RECEIVER"	"ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER"	"IBT_ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"IBT_RECEIVER"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"IBT_RECEIVER"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"IBT_RECEIVER"	"SHIP_REASON_CD"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"SHIPPER_ID"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"RCPT_ACK_RECEIVED"	"datetime"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_FIRST_NAME"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_LAST_NAME"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_INITIAL"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_POSITION"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_HONORIFIC"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_SALUTATION"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_PHONE"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_FAX"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_MOBILE"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_EMAIL"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER"	"CONTACT_ID"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER"	"CONTACT_PHONE_EXT"	"nvarchar"	"YES"
