"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"IBT_RECEIVER_LINE"	"ROWID"	"int"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"RECEIVER_ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"LINE_NO"	"int"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"IBT_ID"	"nvarchar"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"IBT_LINE_NO"	"int"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"USER_RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"ACT_FREIGHT"	"decimal"	"NO"
"dbo"	"IBT_RECEIVER_LINE"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"LOCATION_ID"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"IN_TRANSACTION_ID"	"int"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"OUT_TRANSACTION_ID"	"int"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"SHIPPER_ID"	"nvarchar"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"SHIPPER_LINE_NO"	"int"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"PIECE_COUNT"	"decimal"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"LENGTH"	"decimal"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"WIDTH"	"decimal"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"HEIGHT"	"decimal"	"YES"
"dbo"	"IBT_RECEIVER_LINE"	"DIMENSIONS_UM"	"nvarchar"	"YES"
