"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"INSPECTION_ORDER"	"ID"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"ENTITY_ID"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"LOCATION_ID"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"DOCUMENT_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"VARIATION_ID"	"bigint"	"YES"
"dbo"	"INSPECTION_ORDER"	"LID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"ORDER_TYPE"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"STATUS"	"nvarchar"	"NO"
"dbo"	"INSPECTION_ORDER"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_RECEIVED_BASE"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_ACCEPTED_BASE"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_REJECTED_BASE"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_HOLD_BASE"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_UNIT_BASE"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"QTY_RECEIVED"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_ACCEPTED"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_REJECTED"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_HOLD"	"decimal"	"NO"
"dbo"	"INSPECTION_ORDER"	"QTY_UNIT"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"RECEIVER_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"RECEIVER_LINE_NO"	"smallint"	"YES"
"dbo"	"INSPECTION_ORDER"	"INV_TRANS_ID"	"int"	"YES"
"dbo"	"INSPECTION_ORDER"	"WORKORDER_TYPE"	"nchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"WORKORDER_BASE_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"WORKORDER_LOT_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"WORKORDER_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"WORKORDER_SUB_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"OPERATION_SEQ_NO"	"smallint"	"YES"
"dbo"	"INSPECTION_ORDER"	"EMPLOYEE_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"INSPECTION_ORDER"	"LAST_MOD_DATE"	"datetime"	"NO"
"dbo"	"INSPECTION_ORDER"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"INSPECTION_ORDER"	"ROWID"	"int"	"NO"
