"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"INVENTORY_BALANCE"	"ROWID"	"int"	"NO"
"dbo"	"INVENTORY_BALANCE"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"INVENTORY_BALANCE"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"INVENTORY_BALANCE"	"TRANSACTION_ID"	"int"	"NO"
"dbo"	"INVENTORY_BALANCE"	"QTY"	"decimal"	"NO"
"dbo"	"INVENTORY_BALANCE"	"FLAG"	"nchar"	"NO"
"dbo"	"INVENTORY_BALANCE"	"MATERIAL_AMOUNT"	"decimal"	"YES"
"dbo"	"INVENTORY_BALANCE"	"LABOR_AMOUNT"	"decimal"	"YES"
"dbo"	"INVENTORY_BALANCE"	"BURDEN_AMOUNT"	"decimal"	"YES"
"dbo"	"INVENTORY_BALANCE"	"SERVICE_AMOUNT"	"decimal"	"YES"
"dbo"	"INVENTORY_BALANCE"	"MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"INVENTORY_BALANCE"	"LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"INVENTORY_BALANCE"	"BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"INVENTORY_BALANCE"	"SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"INVENTORY_BALANCE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"INVENTORY_BALANCE"	"SITE_ID"	"nvarchar"	"NO"
