"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"INV_TRANS_AVE"	"TRANSACTION_ID"	"int"	"NO"
"dbo"	"INV_TRANS_AVE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"INV_TRANS_AVE"	"INV_MATERIAL_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"INV_LABOR_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"INV_BURDEN_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"INV_SERVICE_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"INVENTORY_QTY"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"AVE_MATERIAL_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"AVE_LABOR_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"AVE_BURDEN_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"AVE_SERVICE_COST"	"decimal"	"NO"
"dbo"	"INV_TRANS_AVE"	"ROWID"	"int"	"NO"
