"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"JOURNAL"	"ROWID"	"int"	"NO"
"dbo"	"JOURNAL"	"TRANSACTION_ID"	"int"	"NO"
"dbo"	"JOURNAL"	"BATCH_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL"	"ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL"	"ACCT_YEAR"	"decimal"	"NO"
"dbo"	"JOURNAL"	"ACCT_PERIOD"	"decimal"	"NO"
"dbo"	"JOURNAL"	"DEBIT_AMOUNT"	"decimal"	"NO"
"dbo"	"JOURNAL"	"CREDIT_AMOUNT"	"decimal"	"NO"
"dbo"	"JOURNAL"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"JOURNAL"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"JOURNAL"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL"	"NATIVE"	"nchar"	"YES"
