"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"JOURNAL_BATCH"	"ROWID"	"int"	"NO"
"dbo"	"JOURNAL_BATCH"	"ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL_BATCH"	"TYPE"	"nvarchar"	"NO"
"dbo"	"JOURNAL_BATCH"	"BATCH_DATE"	"datetime"	"NO"
"dbo"	"JOURNAL_BATCH"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"JOURNAL_BATCH"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"JOURNAL_BATCH"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"JOURNAL_BATCH"	"LOCKED"	"nchar"	"NO"
"dbo"	"JOURNAL_BATCH"	"DEBIT_AMOUNT"	"decimal"	"NO"
"dbo"	"JOURNAL_BATCH"	"CREDIT_AMOUNT"	"decimal"	"NO"
"dbo"	"JOURNAL_BATCH"	"SITE_ID"	"nvarchar"	"NO"
