"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"MARKET_PRICE"	"ROWID"	"int"	"NO"
"dbo"	"MARKET_PRICE"	"MARKET_ID"	"nvarchar"	"NO"
"dbo"	"MARKET_PRICE"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"MARKET_PRICE"	"SELLING_UM"	"nvarchar"	"YES"
"dbo"	"MARKET_PRICE"	"DEFAULT_UNIT_PRICE"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_1"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_2"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_3"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_4"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_5"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_6"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_7"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_8"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_9"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"QTY_BREAK_10"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_1"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_2"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_3"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_4"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_5"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_6"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_7"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_8"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_9"	"decimal"	"YES"
"dbo"	"MARKET_PRICE"	"UNIT_PRICE_10"	"decimal"	"YES"
