"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"MT_WIP_TRANSACTIONS"	"ROWID"	"int"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"PART_ID"	"varchar"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"FROM_ITEM1"	"varchar"	"YES"
"dbo"	"MT_WIP_TRANSACTIONS"	"FROM_ITEM2"	"varchar"	"YES"
"dbo"	"MT_WIP_TRANSACTIONS"	"TO_ITEM1"	"varchar"	"YES"
"dbo"	"MT_WIP_TRANSACTIONS"	"To_ITEM2"	"varchar"	"YES"
"dbo"	"MT_WIP_TRANSACTIONS"	"FROM_TYPE"	"varchar"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"TO_TYPE"	"varchar"	"YES"
"dbo"	"MT_WIP_TRANSACTIONS"	"DATE"	"datetime"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"USER"	"varchar"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"QTY"	"decimal"	"NO"
"dbo"	"MT_WIP_TRANSACTIONS"	"UserNote"	"varchar"	"YES"
