"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"NEXT_NUMBER_GEN"	"ROWID"	"int"	"NO"
"dbo"	"NEXT_NUMBER_GEN"	"TABLE_NAME"	"nvarchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"COLUMN_NAME"	"nvarchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"ALPHA_PREFIX"	"nvarchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"NEXT_NUMBER"	"int"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"ALPHA_SUFFIX"	"nvarchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"LEADING_ZEROS"	"nchar"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"DECIMAL_PLACES"	"smallint"	"YES"
"dbo"	"NEXT_NUMBER_GEN"	"SITE_ID"	"nvarchar"	"YES"
