"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"NOTIFICATION_DATA"	"ROWID"	"int"	"NO"
"dbo"	"NOTIFICATION_DATA"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"NOTIFICATION_DATA"	"PROGRAM_ID"	"nvarchar"	"NO"
"dbo"	"NOTIFICATION_DATA"	"PRIMARY_KEY"	"nvarchar"	"NO"
"dbo"	"NOTIFICATION_DATA"	"OWNER_ID"	"nvarchar"	"YES"
"dbo"	"NOTIFICATION_DATA"	"DOC_ID"	"nvarchar"	"YES"
"dbo"	"NOTIFICATION_DATA"	"DOC_ID2"	"nvarchar"	"YES"
"dbo"	"NOTIFICATION_DATA"	"DOC_ID3"	"int"	"YES"
"dbo"	"NOTIFICATION_DATA"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"NOTIFICATION_DATA"	"EMPLOYEE_ID"	"nvarchar"	"YES"
"dbo"	"NOTIFICATION_DATA"	"ACTION"	"nvarchar"	"YES"
"dbo"	"NOTIFICATION_DATA"	"EMAIL_ADDR"	"nvarchar"	"YES"
