"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"OPERATION_BINARY"	"ROWID"	"int"	"NO"
"dbo"	"OPERATION_BINARY"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"OPERATION_BINARY"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"OPERATION_BINARY"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"OPERATION_BINARY"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"OPERATION_BINARY"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"OPERATION_BINARY"	"SEQUENCE_NO"	"smallint"	"NO"
"dbo"	"OPERATION_BINARY"	"TYPE"	"nchar"	"NO"
"dbo"	"OPERATION_BINARY"	"BITS"	"image"	"YES"
"dbo"	"OPERATION_BINARY"	"BITS_LENGTH"	"int"	"NO"
