"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"OPERATION_TYPE"	"ROWID"	"int"	"NO"
"dbo"	"OPERATION_TYPE"	"ID"	"nvarchar"	"NO"
"dbo"	"OPERATION_TYPE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"RESOURCE_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"SETUP_HRS"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"RUN"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"RUN_TYPE"	"nchar"	"YES"
"dbo"	"OPERATION_TYPE"	"LOAD_SIZE_QTY"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"MOVE_HRS"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"TRANSIT_DAYS"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SCRAP_YIELD_PCT"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SCRAP_YIELD_TYPE"	"nchar"	"YES"
"dbo"	"OPERATION_TYPE"	"FIXED_SCRAP_UNITS"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"MINIMUM_MOVE_QTY"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"CALC_START_QTY"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"CALC_END_QTY"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"OVERRIDE_QTYS"	"nchar"	"YES"
"dbo"	"OPERATION_TYPE"	"BEGIN_TRACEABILITY"	"nchar"	"YES"
"dbo"	"OPERATION_TYPE"	"TEST_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"SETUP_COST_PER_HR"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"RUN_COST_PER_HR"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PER_HR_SETUP"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PER_HR_RUN"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SERVICE_BASE_CHG"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PERCENT_SETUP"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PERCENT_RUN"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PER_OPERATION"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"CAPACITY_USAGE_MAX"	"smallint"	"YES"
"dbo"	"OPERATION_TYPE"	"CAPACITY_USAGE_MIN"	"smallint"	"YES"
"dbo"	"OPERATION_TYPE"	"SCHEDULE_TYPE"	"smallint"	"YES"
"dbo"	"OPERATION_TYPE"	"MIN_SEGMENT_SIZE"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SERVICE_MIN_CHG"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"VENDOR_SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"SERVICE_PART_ID"	"nvarchar"	"YES"
"dbo"	"OPERATION_TYPE"	"BUR_PER_UNIT_RUN"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"RUN_COST_PER_UNIT"	"decimal"	"YES"
"dbo"	"OPERATION_TYPE"	"SITE_ID"	"nvarchar"	"NO"
