"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PART"	"ROWID"	"int"	"NO"
"dbo"	"PART"	"ID"	"nvarchar"	"NO"
"dbo"	"PART"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PART"	"STOCK_UM"	"nvarchar"	"NO"
"dbo"	"PART"	"PLANNING_LEADTIME"	"smallint"	"NO"
"dbo"	"PART"	"ORDER_POLICY"	"nchar"	"NO"
"dbo"	"PART"	"ORDER_POINT"	"decimal"	"YES"
"dbo"	"PART"	"SAFETY_STOCK_QTY"	"decimal"	"YES"
"dbo"	"PART"	"FIXED_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART"	"DAYS_OF_SUPPLY"	"smallint"	"YES"
"dbo"	"PART"	"MINIMUM_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART"	"MAXIMUM_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"PART"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"PART"	"MFG_NAME"	"nvarchar"	"YES"
"dbo"	"PART"	"MFG_PART_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"FABRICATED"	"nchar"	"NO"
"dbo"	"PART"	"PURCHASED"	"nchar"	"NO"
"dbo"	"PART"	"STOCKED"	"nchar"	"NO"
"dbo"	"PART"	"DETAIL_ONLY"	"nchar"	"NO"
"dbo"	"PART"	"DEMAND_HISTORY"	"nchar"	"NO"
"dbo"	"PART"	"TOOL_OR_FIXTURE"	"nchar"	"NO"
"dbo"	"PART"	"INSPECTION_REQD"	"nchar"	"NO"
"dbo"	"PART"	"WEIGHT"	"decimal"	"YES"
"dbo"	"PART"	"WEIGHT_UM"	"nvarchar"	"YES"
"dbo"	"PART"	"DRAWING_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"DRAWING_REV_NO"	"nvarchar"	"YES"
"dbo"	"PART"	"PREF_VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"MRP_REQUIRED"	"nchar"	"YES"
"dbo"	"PART"	"MRP_EXCEPTIONS"	"nchar"	"YES"
"dbo"	"PART"	"PRIVATE_UM_CONV"	"nchar"	"YES"
"dbo"	"PART"	"AUTO_BACKFLUSH"	"nchar"	"YES"
"dbo"	"PART"	"PLANNER_USER_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"BUYER_USER_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"ABC_CODE"	"nchar"	"YES"
"dbo"	"PART"	"ANNUAL_USAGE_QTY"	"decimal"	"YES"
"dbo"	"PART"	"INVENTORY_LOCKED"	"nchar"	"NO"
"dbo"	"PART"	"MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PART"	"QTY_ON_HAND"	"decimal"	"NO"
"dbo"	"PART"	"QTY_AVAILABLE_ISS"	"decimal"	"NO"
"dbo"	"PART"	"QTY_AVAILABLE_MRP"	"decimal"	"NO"
"dbo"	"PART"	"QTY_ON_ORDER"	"decimal"	"NO"
