"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PART_LOCATION"	"ROWID"	"int"	"NO"
"dbo"	"PART_LOCATION"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"PART_LOCATION"	"WAREHOUSE_ID"	"nvarchar"	"NO"
"dbo"	"PART_LOCATION"	"LOCATION_ID"	"nvarchar"	"NO"
"dbo"	"PART_LOCATION"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PART_LOCATION"	"HOLD_REASON_ID"	"nvarchar"	"YES"
"dbo"	"PART_LOCATION"	"QTY"	"decimal"	"NO"
"dbo"	"PART_LOCATION"	"STATUS"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"LOCKED"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"TRANSIT"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"LAST_COUNT_DATE"	"datetime"	"YES"
"dbo"	"PART_LOCATION"	"PURGE_QTY"	"decimal"	"YES"
"dbo"	"PART_LOCATION"	"COMMITTED_QTY"	"decimal"	"NO"
"dbo"	"PART_LOCATION"	"DEF_BACKFLUSH_LOC"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"AUTO_ISSUE_LOC"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"DEF_INSPECT_LOC"	"nchar"	"NO"
"dbo"	"PART_LOCATION"	"DC_CLASS_ID"	"nchar"	"YES"
"dbo"	"PART_LOCATION"	"ORDER_POINT"	"decimal"	"YES"
"dbo"	"PART_LOCATION"	"ORDER_UP_TO_QTY"	"decimal"	"YES"
"dbo"	"PART_LOCATION"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"PART_LOCATION"	"FROM_HOLD_REASON_ID"	"nvarchar"	"YES"
