"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PART_SHIPPING"	"ROWID"	"int"	"NO"
"dbo"	"PART_SHIPPING"	"CUSTOMER_ID"	"nvarchar"	"NO"
"dbo"	"PART_SHIPPING"	"SHIPTO_ID"	"nvarchar"	"NO"
"dbo"	"PART_SHIPPING"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"PART_SHIPPING"	"CONTAINER_PART_ID"	"nvarchar"	"NO"
"dbo"	"PART_SHIPPING"	"CONTAINER_UM"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"CONTAINER_WEIGHT"	"decimal"	"YES"
"dbo"	"PART_SHIPPING"	"STD_PCS_CONTAINER"	"decimal"	"YES"
"dbo"	"PART_SHIPPING"	"SKID_PART_ID"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"SKID_UM"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"SKID_WEIGHT"	"decimal"	"YES"
"dbo"	"PART_SHIPPING"	"STD_CONTAINER_SKID"	"decimal"	"YES"
"dbo"	"PART_SHIPPING"	"CONTAINER_TYPE"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"DEFAULT_CONTAINER"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"CUST_SHIP_PART_ID"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"PACKAGE_TYPE"	"nvarchar"	"YES"
"dbo"	"PART_SHIPPING"	"CREATE_INV_TRANS"	"nchar"	"YES"
"dbo"	"PART_SHIPPING"	"DOCK_CODE"	"nvarchar"	"YES"
