"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PART_WAREHOUSE"	"ROWID"	"int"	"NO"
"dbo"	"PART_WAREHOUSE"	"WAREHOUSE_ID"	"nvarchar"	"NO"
"dbo"	"PART_WAREHOUSE"	"PART_ID"	"nvarchar"	"NO"
"dbo"	"PART_WAREHOUSE"	"MIN_INV_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"COMMITTED_CO"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"COMMITTED_REQ"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"COMMITTED_PLREQ"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"COMMITTED_IBT"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"AVAILABLE_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECTED_PO"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECTED_WO"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECTED_PL"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECTED_IBT"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECT_COMMIT_CO"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECT_COMMIT_REQ"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECT_COMMIT_PLR"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"EXPECT_COMMIT_IBT"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"UNALLOC_DEMAND_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"OUTBOUND_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"ON_HOLD_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"LOCKED_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"UNAVAILABLE_QTY"	"decimal"	"NO"
"dbo"	"PART_WAREHOUSE"	"AUTO_CREATE"	"nchar"	"NO"
"dbo"	"PART_WAREHOUSE"	"SOURCE_TYPE"	"nchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"SOURCE_ID"	"nvarchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"PLANNING_LEADTIME"	"smallint"	"NO"
"dbo"	"PART_WAREHOUSE"	"ORDER_POLICY"	"nchar"	"NO"
"dbo"	"PART_WAREHOUSE"	"ORDER_POINT"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"SAFETY_STOCK_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"FIXED_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"DAYS_OF_SUPPLY"	"smallint"	"YES"
"dbo"	"PART_WAREHOUSE"	"MINIMUM_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"MAXIMUM_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"PLANNER_USER_ID"	"nvarchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"BUYER_USER_ID"	"nvarchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"ANNUAL_USAGE_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"MULTIPLE_ORDER_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"DEMAND_FENCE_1"	"int"	"YES"
"dbo"	"PART_WAREHOUSE"	"DEMAND_FENCE_2"	"int"	"YES"
"dbo"	"PART_WAREHOUSE"	"MRP_EXCEPTIONS"	"nchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"MRP_EXCEPTION_INFO"	"nvarchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"MRP_REQUIRED"	"nchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"MINIMUM_LEADTIME"	"smallint"	"YES"
"dbo"	"PART_WAREHOUSE"	"LEADTIME_BUFFER"	"smallint"	"YES"
"dbo"	"PART_WAREHOUSE"	"EMERGENCY_STOCKPCT"	"int"	"YES"
"dbo"	"PART_WAREHOUSE"	"YELLOW_STOCKPCT"	"int"	"YES"
"dbo"	"PART_WAREHOUSE"	"REPLENISH_LEVEL"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"ORDER_UP_TO_QTY"	"decimal"	"YES"
"dbo"	"PART_WAREHOUSE"	"COUNT_SEQUENCE"	"int"	"NO"
"dbo"	"PART_WAREHOUSE"	"BUFFER_PROFILE_ID"	"nvarchar"	"YES"
"dbo"	"PART_WAREHOUSE"	"ADU_HORIZON"	"smallint"	"YES"
"dbo"	"PART_WAREHOUSE"	"ASR_LEADTIME"	"smallint"	"YES"
"dbo"	"PART_WAREHOUSE"	"ONHAND_ALERT_RED_PCT"	"smallint"	"YES"
