"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PAYABLE"	"ROWID"	"int"	"NO"
"dbo"	"PAYABLE"	"VOUCHER_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"INVOICE_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE"	"TYPE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"INVOICE_DATE"	"datetime"	"NO"
"dbo"	"PAYABLE"	"PAYMENT_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"LAST_PAID_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"ZERO_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"PAYABLE"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"PAY_STATUS"	"nchar"	"NO"
"dbo"	"PAYABLE"	"TOTAL_AMOUNT"	"decimal"	"NO"
"dbo"	"PAYABLE"	"PAID_AMOUNT"	"decimal"	"NO"
"dbo"	"PAYABLE"	"DISCOUNT_TAKEN"	"decimal"	"NO"
"dbo"	"PAYABLE"	"AUTHORIZED_PAYMENT"	"decimal"	"YES"
"dbo"	"PAYABLE"	"TERMS_NET_TYPE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"TERMS_NET_DAYS"	"smallint"	"YES"
"dbo"	"PAYABLE"	"TERMS_NET_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"TERMS_DISC_TYPE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"TERMS_DISC_DAYS"	"smallint"	"YES"
"dbo"	"PAYABLE"	"TERMS_DISC_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"TERMS_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"PAYABLE"	"TERMS_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"REPORT_1099_MISC"	"nchar"	"NO"
"dbo"	"PAYABLE"	"SELL_RATE"	"decimal"	"NO"
"dbo"	"PAYABLE"	"BUY_RATE"	"decimal"	"NO"
"dbo"	"PAYABLE"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"PAYABLE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"PAYB_GL_ACCT_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"NEW_SELL_RATE"	"decimal"	"YES"
"dbo"	"PAYABLE"	"NEW_BUY_RATE"	"decimal"	"YES"
"dbo"	"PAYABLE"	"VAT_BOOK_CODE"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"VAT_REPORT_NO"	"int"	"YES"
"dbo"	"PAYABLE"	"VAT_FILENAME"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"WITHHOLDING_CODE"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"WITHHELD_AMOUNT"	"decimal"	"NO"
"dbo"	"PAYABLE"	"WH_ALLOWED_AMOUNT"	"decimal"	"NO"
"dbo"	"PAYABLE"	"REMIT_ADDR_NO"	"int"	"YES"
"dbo"	"PAYABLE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE"	"USER_EXCH_RATE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"VOID_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE"	"COMM_INVOICE_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"COMM_PAID_AMOUNT"	"decimal"	"YES"
"dbo"	"PAYABLE"	"LANDED_COST_INV"	"nchar"	"YES"
"dbo"	"PAYABLE"	"ACT_RATE_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"ACT_PERIOD_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"RETRO_RATE_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"RETRO_PERIOD_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"RETRO_RATE_CODE"	"nchar"	"YES"
"dbo"	"PAYABLE"	"POSTING_CANDIDATE"	"nchar"	"NO"
"dbo"	"PAYABLE"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"PAYABLE"	"TERMS_ID"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"PAYABLE"	"USER_DIMENSION_2"	"nvarchar"	"YES"
