"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PAYABLE_INST"	"ROWID"	"int"	"NO"
"dbo"	"PAYABLE_INST"	"VOUCHER_ID"	"nvarchar"	"NO"
"dbo"	"PAYABLE_INST"	"INST_NO"	"smallint"	"NO"
"dbo"	"PAYABLE_INST"	"DUE_DATE"	"datetime"	"NO"
"dbo"	"PAYABLE_INST"	"TOTAL_AMOUNT"	"decimal"	"NO"
"dbo"	"PAYABLE_INST"	"PAID_AMOUNT"	"decimal"	"YES"
"dbo"	"PAYABLE_INST"	"LAST_PAID_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE_INST"	"ZERO_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE_INST"	"PAY_STATUS"	"nchar"	"NO"
"dbo"	"PAYABLE_INST"	"PAYMENT_DATE"	"datetime"	"YES"
"dbo"	"PAYABLE_INST"	"AUTHORIZED_PAYMENT"	"decimal"	"YES"
