"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PROCESS_ACTIVITY"	"ROWID"	"int"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"TYPE"	"nvarchar"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"DOCUMENT_ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"DOCUMENT_LINE_NO"	"smallint"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"PROCESS_TYPE_ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"DOCUMENT_TYPE"	"nvarchar"	"YES"
"dbo"	"PROCESS_ACTIVITY"	"SEQUENCE_NO"	"smallint"	"YES"
"dbo"	"PROCESS_ACTIVITY"	"STANDARD_DAYS"	"decimal"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"ACTUAL_DAYS"	"decimal"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"STANDARD_COST"	"decimal"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"ACTUAL_COST"	"decimal"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"START_DATE"	"datetime"	"YES"
"dbo"	"PROCESS_ACTIVITY"	"END_DATE"	"datetime"	"YES"
"dbo"	"PROCESS_ACTIVITY"	"PERCENT_COMPLETE"	"decimal"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"PROCESS_ACTIVITY"	"USER_ID"	"nvarchar"	"YES"
