"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PROCESS_TYPE_LINE"	"ROWID"	"int"	"NO"
"dbo"	"PROCESS_TYPE_LINE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_TYPE_LINE"	"PROCESS_TYPE_ID"	"nvarchar"	"NO"
"dbo"	"PROCESS_TYPE_LINE"	"PROCESS"	"nvarchar"	"NO"
"dbo"	"PROCESS_TYPE_LINE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PROCESS_TYPE_LINE"	"SEQUENCE_NO"	"smallint"	"YES"
"dbo"	"PROCESS_TYPE_LINE"	"DOCUMENT_TYPE"	"nvarchar"	"YES"
"dbo"	"PROCESS_TYPE_LINE"	"STANDARD_DAYS"	"decimal"	"NO"
"dbo"	"PROCESS_TYPE_LINE"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"PROCESS_TYPE_LINE"	"CREATE_DATE"	"datetime"	"NO"
