"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PROJECT_EAC_POC"	"ROWID"	"int"	"NO"
"dbo"	"PROJECT_EAC_POC"	"ID"	"nvarchar"	"NO"
"dbo"	"PROJECT_EAC_POC"	"PROJECT_ID"	"nvarchar"	"NO"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_LAB_HRS"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_MAT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_LAB_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_BUR_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_SER_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_TOTAL_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_EST_COI"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EST_EAC_TOT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_LAB_HRS"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_MAT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_LAB_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_BUR_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_SER_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_TOTAL_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_COI"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_RES_TOT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EAC_LAB_HRS"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EAC_LAB_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EAC_MAT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EAC_BUR_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EAC_SER_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EST_RES_COST"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TOTAL_EST_COI_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"EAC_TOTAL"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TARGET_COST"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TARGET_PRICE"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TARGET_PROFIT_AMT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"TARGET_PROFIT_PCT"	"decimal"	"YES"
"dbo"	"PROJECT_EAC_POC"	"LOCKED"	"nchar"	"YES"
"dbo"	"PROJECT_EAC_POC"	"CURRENT_FLAG"	"nchar"	"YES"
"dbo"	"PROJECT_EAC_POC"	"BASELINE"	"nchar"	"YES"
"dbo"	"PROJECT_EAC_POC"	"VERSION_DATE"	"datetime"	"YES"
"dbo"	"PROJECT_EAC_POC"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"PROJECT_EAC_POC"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"PROJECT_EAC_POC"	"ETC_VERSION_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_EAC_POC"	"CONTRACT_MOD_ID"	"nvarchar"	"YES"
