"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PROJECT_GL_TRANS"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"PROJECT_GL_TRANS"	"ID"	"int"	"NO"
"dbo"	"PROJECT_GL_TRANS"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"PROJECT_GL_TRANS"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"PROJECT_GL_TRANS"	"GL_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SOURCE_TRANS_ID"	"int"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SOURCE_TYPE"	"nvarchar"	"NO"
"dbo"	"PROJECT_GL_TRANS"	"PROJECT_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"WBS_CODE"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"DEPARTMENT_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"COST_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BURDEN_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BURDEN_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"ORIG_SOURCE_TYPE"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"DEBIT_AMOUNT"	"decimal"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"CREDIT_AMOUNT"	"decimal"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BATCH_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BATCH_DATE"	"datetime"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"BATCH_TYPE"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SITE_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"TRANS_SITE_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"POSTING_DATE"	"datetime"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SOURCE"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SOURCE_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"SOURCE_LINE_NO"	"smallint"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"PROJECT_SUMMARY_ID"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"COMPANY_NAME"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"RUN_COMMENTS"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"RUN_COMMENTS2"	"nvarchar"	"YES"
"dbo"	"PROJECT_GL_TRANS"	"ROWID"	"int"	"NO"
