"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PURC_LINE_TRC_CTL"	"ROWID"	"int"	"NO"
"dbo"	"PURC_LINE_TRC_CTL"	"PURC_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"PURC_LINE_TRC_CTL"	"PURC_ORDER_LINE_NO"	"int"	"NO"
"dbo"	"PURC_LINE_TRC_CTL"	"SERIAL_ID_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"LOT_ID_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"APROPERTY_1_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"APROPERTY_2_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"APROPERTY_3_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"APROPERTY_4_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"APROPERTY_5_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"NPROPERTY_1_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"NPROPERTY_2_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"NPROPERTY_3_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"NPROPERTY_4_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"NPROPERTY_5_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"EXPIRE_DATE_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"PROD_DATE_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"REC_BY_DATE_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"AVAILABLE_DATE_CTL"	"nvarchar"	"YES"
"dbo"	"PURC_LINE_TRC_CTL"	"SHIP_BY_DATE_CTL"	"nvarchar"	"YES"
