"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PURC_REQUISITION"	"ROWID"	"int"	"NO"
"dbo"	"PURC_REQUISITION"	"ID"	"nvarchar"	"NO"
"dbo"	"PURC_REQUISITION"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_FIRST_NAME"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_LAST_NAME"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_INITIAL"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_POSITION"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_HONORIFIC"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_SALUTATION"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_PHONE"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_FAX"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"PURC_REQ_ADDR_NO"	"int"	"YES"
"dbo"	"PURC_REQUISITION"	"SHIPTO_ADDR_NO"	"int"	"YES"
"dbo"	"PURC_REQUISITION"	"REQUISITION_DATE"	"datetime"	"NO"
"dbo"	"PURC_REQUISITION"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"BUYER"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"PREPARER"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"REQUESTOR"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"ASSIGNED_TO"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"APP1_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"APP2_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"APP3_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"APP4_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"FREE_ON_BOARD"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"SHIP_VIA"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"SALES_TAX_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"STATUS"	"nchar"	"NO"
"dbo"	"PURC_REQUISITION"	"SELL_RATE"	"decimal"	"NO"
"dbo"	"PURC_REQUISITION"	"BUY_RATE"	"decimal"	"NO"
"dbo"	"PURC_REQUISITION"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"PURC_REQUISITION"	"TOTAL_AMT_ORDERED"	"decimal"	"NO"
"dbo"	"PURC_REQUISITION"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"PURC_REQUISITION"	"EXCH_RATE_FIXED"	"nchar"	"NO"
"dbo"	"PURC_REQUISITION"	"SHIPTO_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"SHIPFROM_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CARRIER_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_NET_TYPE"	"nchar"	"NO"
"dbo"	"PURC_REQUISITION"	"TERMS_NET_DAYS"	"smallint"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_NET_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_DISC_DAYS"	"smallint"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_DISC_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"TERMS_DISC_TYPE"	"nchar"	"NO"
"dbo"	"PURC_REQUISITION"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_EMAIL"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_MOBILE"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CATEGORY_TYPE"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_1"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_2"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_3"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_4"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_5"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_6"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_7"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_8"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_9"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"USER_10"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"PURC_REQUISITION"	"TERMS_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQUISITION"	"CONTACT_PHONE_EXT"	"nvarchar"	"YES"
