"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PURC_REQ_LINE"	"ROWID"	"int"	"NO"
"dbo"	"PURC_REQ_LINE"	"PURC_REQ_ID"	"nvarchar"	"NO"
"dbo"	"PURC_REQ_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"PURC_REQ_LINE"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"VENDOR_PART_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_ORDER_QTY"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"ORDER_QTY"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"UNIT_PRICE"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"TRADE_DISC_PERCENT"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"FIXED_CHARGE"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"EST_FREIGHT"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"GL_EXPENSE_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"SALES_TAX_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"PURC_REQ_LINE"	"LINE_STATUS"	"nchar"	"NO"
"dbo"	"PURC_REQ_LINE"	"TOTAL_AMT_RECVD"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"TOTAL_AMT_ORDERED"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"MFG_NAME"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"MFG_PART_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"PIECE_COUNT"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"LENGTH"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"WIDTH"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"HEIGHT"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"DIMENSIONS_UM"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"MINIMUM_CHARGE"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"SHIPTO_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"ALLOCATED_QTY"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"FULFILLED_QTY"	"decimal"	"NO"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_BASE_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_LOT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_SUB_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_SEQ_NO"	"smallint"	"YES"
"dbo"	"PURC_REQ_LINE"	"WORKORDER_PIECE_NO"	"smallint"	"YES"
"dbo"	"PURC_REQ_LINE"	"WBS_CODE"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"DEPARTMENT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"PART_GL_ACCOUNT"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"COST_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"PROJ_REF_SEQ_NO"	"smallint"	"YES"
"dbo"	"PURC_REQ_LINE"	"PROJ_REF_SUB_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"SHIPFROM_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"HTS_CODE"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"ORIG_COUNTRY_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_1"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_2"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_3"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_4"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_5"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_6"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_7"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_8"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_9"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"USER_10"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"VAT_CATEGORY"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"VAT_AMOUNT"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"VAT_RCV_AMOUNT"	"decimal"	"YES"
"dbo"	"PURC_REQ_LINE"	"ORIG_STAGE_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"PURC_REQ_LINE"	"CONTRACT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_REQ_LINE"	"CONTRACT_LINE_NO"	"smallint"	"YES"
