"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PURC_SERV_DETAIL"	"ROWID"	"int"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"PURC_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"DIST_NO"	"smallint"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"TRANSACTION_ID"	"int"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"PURC_ORDER_LINE_NO"	"smallint"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"ACT_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"ACT_LABOR_COST"	"decimal"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"ACT_BURDEN_COST"	"decimal"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"ACT_SERVICE_COST"	"decimal"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"PURC_SERV_DETAIL"	"DR_MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"DR_LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"DR_BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"DR_SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"CR_MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"CR_LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"CR_BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"PURC_SERV_DETAIL"	"CR_SER_GL_ACCT_ID"	"nvarchar"	"YES"
