"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"RCR_PAYABLE"	"ROWID"	"int"	"NO"
"dbo"	"RCR_PAYABLE"	"ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE"	"VENDOR_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TYPE"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"RCR_PAYABLE"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE"	"PAY_STATUS"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TOTAL_AMOUNT"	"decimal"	"NO"
"dbo"	"RCR_PAYABLE"	"AUTHORIZED_PAYMENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_NET_TYPE"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TERMS_NET_DAYS"	"smallint"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_NET_DATE"	"datetime"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_DISC_TYPE"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TERMS_DISC_DAYS"	"smallint"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_DISC_DATE"	"datetime"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"REPORT_1099_MISC"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE"	"PAYB_GL_ACCT_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TRIGGER_FREQ"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE"	"TRIGGER_DAY"	"smallint"	"YES"
"dbo"	"RCR_PAYABLE"	"TRIGGER_COUNT"	"smallint"	"YES"
"dbo"	"RCR_PAYABLE"	"TRIGGER_MAX"	"smallint"	"YES"
"dbo"	"RCR_PAYABLE"	"TRIGGER_LAST_DATE"	"datetime"	"YES"
"dbo"	"RCR_PAYABLE"	"GROUP_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"VAT_BOOK_CODE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"WITHHOLDING_CODE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"REMIT_ADDR_NO"	"int"	"YES"
"dbo"	"RCR_PAYABLE"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"TERMS_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE"	"USER_DIMENSION_2"	"nvarchar"	"YES"
