"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"RCR_PAYABLE_LINE"	"ROWID"	"int"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"RCR_PAYABLE_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"QTY"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"AMOUNT"	"decimal"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_PERCENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_AMOUNT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"FIXED_CHARGE"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"DISC_ALLOWED"	"nchar"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_RCV_PERCENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_RCV_AMOUNT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"WITHHOLD_TYPE"	"nchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_RCV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"HTS_CODE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"ORIG_COUNTRY_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"DUTY_PERCENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"DUTY_AMOUNT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"DUTY_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"vat_category"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"USER_DIMENSION_2"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_IE_PERCENT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_IE_AMOUNT"	"decimal"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_IE_DR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"RCR_PAYABLE_LINE"	"VAT_IE_CR_GL_ACCT_ID"	"nvarchar"	"YES"
