"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"RECEIVER"	"ROWID"	"int"	"NO"
"dbo"	"RECEIVER"	"ID"	"nvarchar"	"NO"
"dbo"	"RECEIVER"	"PURC_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"RECEIVER"	"RECEIVED_DATE"	"datetime"	"YES"
"dbo"	"RECEIVER"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"RECEIVER"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"RECEIVER"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"RECEIVER"	"SHIP_REASON_CD"	"nvarchar"	"YES"
"dbo"	"RECEIVER"	"CARRIER_ID"	"nvarchar"	"YES"
"dbo"	"RECEIVER"	"BOL_ID"	"nvarchar"	"YES"
"dbo"	"RECEIVER"	"VEND_PACK_ID"	"nvarchar"	"YES"
"dbo"	"RECEIVER"	"VEND_PACK_DATE"	"datetime"	"YES"
"dbo"	"RECEIVER"	"VEND_FREIGHT_ID"	"nvarchar"	"YES"
"dbo"	"RECEIVER"	"SITE_ID"	"nvarchar"	"NO"
