"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REFERENCE_DESIGNATOR"	"ROWID"	"int"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"OPERATION_SEQ_NO"	"smallint"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"PIECE_NO"	"smallint"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"ID"	"nvarchar"	"NO"
"dbo"	"REFERENCE_DESIGNATOR"	"X_COORDINATE"	"nvarchar"	"YES"
"dbo"	"REFERENCE_DESIGNATOR"	"Y_COORDINATE"	"nvarchar"	"YES"
"dbo"	"REFERENCE_DESIGNATOR"	"DESCRIPTION"	"nvarchar"	"YES"
