"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REPORT_LINE"	"ROWID"	"int"	"NO"
"dbo"	"REPORT_LINE"	"REPORT_ID"	"nvarchar"	"NO"
"dbo"	"REPORT_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"REPORT_LINE"	"TYPE"	"nchar"	"NO"
"dbo"	"REPORT_LINE"	"ACCOUNT_ID_RANGE"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"ALTERNATE_DESCR"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"EXPLODE_TO_LEVEL"	"smallint"	"YES"
"dbo"	"REPORT_LINE"	"SITE_ID_RANGE"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"SECTION_BREAK"	"nchar"	"NO"
"dbo"	"REPORT_LINE"	"SECTION_TITLE"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"PRINT_CODE"	"int"	"YES"
"dbo"	"REPORT_LINE"	"SEND_DATA"	"nchar"	"NO"
"dbo"	"REPORT_LINE"	"BEGIN_PERIOD_ARRAY"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"BEGIN_YEAR_ARRAY"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"END_PERIOD_ARRAY"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"END_YEAR_ARRAY"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"PERSISTENT_ARRAY"	"nvarchar"	"YES"
"dbo"	"REPORT_LINE"	"SHOW_TRANSACTIONS"	"nchar"	"NO"
"dbo"	"REPORT_LINE"	"ADD_LINE_ABOVE_TTL"	"nchar"	"YES"
"dbo"	"REPORT_LINE"	"CALENDAR_ID"	"nvarchar"	"YES"
