"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REQUIREMENT_BINARY"	"ROWID"	"int"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"OPERATION_SEQ_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"PIECE_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"TYPE"	"nchar"	"NO"
"dbo"	"REQUIREMENT_BINARY"	"BITS"	"image"	"YES"
"dbo"	"REQUIREMENT_BINARY"	"BITS_LENGTH"	"int"	"NO"
