"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REQUIREMENT_COST"	"ROWID"	"int"	"NO"
"dbo"	"REQUIREMENT_COST"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"REQUIREMENT_COST"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_COST"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_COST"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_COST"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_COST"	"OPERATION_SEQ_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_COST"	"REQ_PIECE_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_COST"	"QTY"	"decimal"	"NO"
"dbo"	"REQUIREMENT_COST"	"UNIT_COST"	"decimal"	"NO"
"dbo"	"REQUIREMENT_COST"	"FIXED_COST"	"decimal"	"NO"
"dbo"	"REQUIREMENT_COST"	"MINIMUM_COST"	"decimal"	"YES"
"dbo"	"REQUIREMENT_COST"	"LEADTIME"	"smallint"	"YES"
