"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REQUIREMENT_SCHED"	"ROWID"	"int"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"SCHEDULE_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"SEQUENCE_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"PIECE_NO"	"smallint"	"NO"
"dbo"	"REQUIREMENT_SCHED"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"REQUIREMENT_SCHED"	"REQUIRED_DATE"	"datetime"	"YES"
"dbo"	"REQUIREMENT_SCHED"	"PROBLEM_CODE"	"int"	"YES"
"dbo"	"REQUIREMENT_SCHED"	"DUE_DATE"	"datetime"	"YES"
