"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"REVALUE_DIST"	"ROWID"	"int"	"NO"
"dbo"	"REVALUE_DIST"	"REVALUE_ID"	"nvarchar"	"NO"
"dbo"	"REVALUE_DIST"	"DIST_NO"	"int"	"NO"
"dbo"	"REVALUE_DIST"	"ENTRY_NO"	"int"	"NO"
"dbo"	"REVALUE_DIST"	"AMOUNT"	"decimal"	"NO"
"dbo"	"REVALUE_DIST"	"AMOUNT_TYPE"	"nchar"	"NO"
"dbo"	"REVALUE_DIST"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"REVALUE_DIST"	"POSTING_STATUS"	"nchar"	"NO"
"dbo"	"REVALUE_DIST"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"REVALUE_DIST"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"REVALUE_DIST"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"REVALUE_DIST"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"REVALUE_DIST"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"REVALUE_DIST"	"NATIVE"	"nchar"	"YES"
