"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"RFQ_LINE"	"ROWID"	"int"	"NO"
"dbo"	"RFQ_LINE"	"RFQ_ID"	"nvarchar"	"NO"
"dbo"	"RFQ_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"RFQ_LINE"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"VENDOR_PART_ID"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"MFG_NAME"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"MFG_PART_ID"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_1"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_2"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_3"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_4"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_5"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_6"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_7"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_8"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_9"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"QTY_BREAK_10"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"RFQ_LINE"	"SERVICE_ID"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"SHIPPING_WEIGHT"	"decimal"	"YES"
"dbo"	"RFQ_LINE"	"ORIG_STAGE_REVISION_ID"	"nvarchar"	"YES"
"dbo"	"RFQ_LINE"	"WAREHOUSE_ID"	"nvarchar"	"YES"
