"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"RMA_LINE"	"ROWID"	"int"	"NO"
"dbo"	"RMA_LINE"	"RMA_ID"	"nvarchar"	"NO"
"dbo"	"RMA_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"RMA_LINE"	"ORG_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"RMA_LINE"	"NEW_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"RMA_LINE"	"QTY"	"decimal"	"NO"
"dbo"	"RMA_LINE"	"RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"RMA_LINE"	"SHIPPED_QTY"	"decimal"	"NO"
"dbo"	"RMA_LINE"	"PIECE_COUNT"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"PIECES_RECEIVED"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"PIECES_SHIPPED"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"LENGTH"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"WIDTH"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"HEIGHT"	"decimal"	"YES"
"dbo"	"RMA_LINE"	"DIMENSIONS_UM"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"WORKORDER_BASE_ID"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"LINE_STATUS"	"nchar"	"NO"
"dbo"	"RMA_LINE"	"QUOTE_LINE_NO"	"smallint"	"YES"
"dbo"	"RMA_LINE"	"UDF_LAYOUT_ID"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_1"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_2"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_3"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_4"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_5"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_6"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_7"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_8"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_9"	"nvarchar"	"YES"
"dbo"	"RMA_LINE"	"USER_10"	"nvarchar"	"YES"
