"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SEGMENT"	"ROWID"	"int"	"NO"
"dbo"	"SEGMENT"	"CODE"	"nvarchar"	"NO"
"dbo"	"SEGMENT"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"REV_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"AR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"DEF_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"LIQ_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"PBC_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"CGS_MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"CGS_LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"CGS_BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"CGS_SER_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"WIP_MAT_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"WIP_LAB_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"WIP_BUR_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SEGMENT"	"WIP_SER_GL_ACCT_ID"	"nvarchar"	"YES"
