"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SERVICE"	"ROWID"	"int"	"NO"
"dbo"	"SERVICE"	"ID"	"nvarchar"	"NO"
"dbo"	"SERVICE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"SERVICE_PART_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"USAGE_UM"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"PLAN_TRANSIT_DAYS"	"smallint"	"YES"
"dbo"	"SERVICE"	"SCHEDULE_RANK"	"smallint"	"YES"
"dbo"	"SERVICE"	"RUN"	"decimal"	"YES"
"dbo"	"SERVICE"	"RUN_TYPE"	"nvarchar"	"YES"
"dbo"	"SERVICE"	"LOAD_SIZE_QTY"	"decimal"	"YES"
"dbo"	"SERVICE"	"MINIMUM_MOVE_QTY"	"decimal"	"YES"
"dbo"	"SERVICE"	"LONG_DESCRIPTION"	"image"	"YES"
"dbo"	"SERVICE"	"INTRASTAT_INCLUDE"	"nchar"	"YES"
"dbo"	"SERVICE"	"STATUS"	"nchar"	"YES"
"dbo"	"SERVICE"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"SERVICE"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"YES"
