"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SERVICE_CHARGE"	"ROWID"	"int"	"NO"
"dbo"	"SERVICE_CHARGE"	"ID"	"nvarchar"	"NO"
"dbo"	"SERVICE_CHARGE"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"SERVICE_CHARGE"	"COMMISSION_PCT"	"decimal"	"YES"
"dbo"	"SERVICE_CHARGE"	"SALES_TAX_GROUP_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"SERVICE_CHARGE"	"GL_REVENUE_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"INTRASTAT_INCLUDE"	"nchar"	"YES"
"dbo"	"SERVICE_CHARGE"	"SITE_ID"	"nvarchar"	"NO"
