"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SERVICE_DISP_LINE"	"ROWID"	"int"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"DISPATCH_ID"	"nvarchar"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"PURC_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"PURC_ORDER_LINE_NO"	"smallint"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"SERVICE_ID"	"nvarchar"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"SERVICE_PART_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"USER_DISPATCH_QTY"	"decimal"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"DISPATCH_QTY"	"decimal"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"ACT_FREIGHT"	"decimal"	"NO"
"dbo"	"SERVICE_DISP_LINE"	"SHIPPING_WEIGHT"	"decimal"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"WEIGHT_UM"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"SHIPPING_UM"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"PROMISE_DATE"	"datetime"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"CALC_RECV_QTY"	"decimal"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"CARTON_COUNT"	"smallint"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"PACKAGE_TYPE"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"UNIT_COST"	"decimal"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"DISPATCH_ADDR_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"net_ship_weight"	"decimal"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"tare_weight"	"decimal"	"YES"
"dbo"	"SERVICE_DISP_LINE"	"pallet_count"	"decimal"	"YES"
