"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"SERVICE_SITE"	"ROWID"	"int"	"NO"
"dbo"	"SERVICE_SITE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"SERVICE_SITE"	"SERVICE_ID"	"nvarchar"	"NO"
"dbo"	"SERVICE_SITE"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_SITE"	"EST_MIN_CHARGE"	"decimal"	"NO"
"dbo"	"SERVICE_SITE"	"EST_BASE_CHARGE"	"decimal"	"NO"
"dbo"	"SERVICE_SITE"	"SERVICE_PART_ID"	"nvarchar"	"YES"
"dbo"	"SERVICE_SITE"	"PLAN_TRANSIT_DAYS"	"smallint"	"YES"
"dbo"	"SERVICE_SITE"	"SCHEDULE_RANK"	"smallint"	"YES"
"dbo"	"SERVICE_SITE"	"RUN"	"decimal"	"YES"
"dbo"	"SERVICE_SITE"	"RUN_TYPE"	"nvarchar"	"YES"
"dbo"	"SERVICE_SITE"	"LOAD_SIZE_QTY"	"decimal"	"YES"
"dbo"	"SERVICE_SITE"	"MINIMUM_MOVE_QTY"	"decimal"	"YES"
"dbo"	"SERVICE_SITE"	"EST_COST_PER_UNIT"	"decimal"	"NO"
"dbo"	"SERVICE_SITE"	"STATUS"	"nchar"	"YES"
"dbo"	"SERVICE_SITE"	"VAT_CODE"	"nvarchar"	"YES"
"dbo"	"SERVICE_SITE"	"INTRASTAT_INCLUDE"	"nvarchar"	"YES"
"dbo"	"SERVICE_SITE"	"STATUS_EFF_DATE"	"datetime"	"NO"
"dbo"	"SERVICE_SITE"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"YES"
